Latency_ns,Count
231,303
232,26506
233,255404
234,845874
235,1811076
236,2071618
237,1693285
238,1464911
239,1339658
240,1513664
241,1780575
242,1390378
243,978404
244,852272
245,672415
246,582410
247,598181
248,547266
249,1153804
250,4018127
251,6159870
252,7507422
253,7553506
254,4917573
255,4052896
256,4077230
257,3089976
258,2677118
259,2130590
260,1410321
261,1222832
262,1102870
263,915222
264,1055142
265,1122582
266,1003865
267,1009844
268,993987
269,1066229
270,1360561
271,1256720
272,1020020
273,949364
274,737668
275,648202
276,707853
277,542889
278,455415
279,461210
280,348514
281,366163
282,664527
283,904208
284,1175089
285,1349788
286,1014721
287,919351
288,889147
289,670658
290,626158
291,579146
292,463194
293,482188
294,485984
295,398223
296,390318
297,358167
298,326226
299,369582
300,348708
301,302245
302,318778
303,297307
304,295014
305,348944
306,310070
307,286355
308,323244
309,262809
310,241064
311,264416
312,215322
313,209416
314,238120
315,205947
316,213954
317,237295
318,192599
319,190224
320,196521
321,165721
322,171185
323,178100
324,155489
325,167213
326,167669
327,147447
328,156374
329,147800
330,129518
331,138394
332,127030
333,115485
334,128853
335,118385
336,110091
337,122762
338,108350
339,99979
340,105162
341,86621
342,83247
343,123618
344,166069
345,205748
346,274264
347,287895
348,333495
349,470459
350,477891
351,427406
352,370146
353,268405
354,248608
355,227420
356,170219
357,178218
358,166978
359,147134
360,154455
361,134084
362,118756
363,123149
364,116023
365,108204
366,108384
367,98629
368,90262
369,96498
370,82531
371,82021
372,93040
373,75808
374,72133
375,80259
376,64917
377,64931
378,70384
379,58926
380,61573
381,69653
382,61341
383,64918
384,67949
385,58562
386,62865
387,64360
388,56745
389,59959
390,59801
391,54459
392,57551
393,56737
394,52693
395,61800
396,57641
397,53431
398,67925
399,69666
400,70246
401,89984
402,84639
403,85635
404,115457
405,98828
406,91945
407,100397
408,74225
409,71272
410,72839
411,57622
412,56892
413,59463
414,50899
415,51900
416,53142
417,47280
418,46798
419,48265
420,40640
421,43961
422,43199
423,38120
424,41483
425,39091
426,35541
427,39586
428,36334
429,34089
430,38486
431,33206
432,30818
433,35066
434,29387
435,28356
436,33316
437,28115
438,27291
439,30824
440,25461
441,25677
442,28709
443,25323
444,24482
445,26194
446,22298
447,23085
448,23566
449,20609
450,22321
451,22127
452,19694
453,21654
454,21170
455,19147
456,20933
457,19538
458,17885
459,20210
460,18182
461,16650
462,18742
463,16816
464,16106
465,18901
466,16198
467,15954
468,19063
469,16376
470,15616
471,18684
472,15545
473,15802
474,17340
475,14469
476,14875
477,15662
478,13233
479,14111
480,14300
481,12705
482,13810
483,14005
484,12622
485,13932
486,13483
487,12552
488,14085
489,13166
490,12119
491,13694
492,12282
493,11162
494,12937
495,11735
496,10263
497,12678
498,10232
499,10223
500,11858
501,9784
502,9831
503,11222
504,9131
505,9586
506,10489
507,8813
508,9106
509,10081
510,8653
511,9116
512,9330
513,8078
514,8689
515,8856
516,7793
517,8673
518,8021
519,7445
520,8078
521,7952
522,6840
523,8241
524,7300
525,6770
526,7644
527,6763
528,6314
529,7479
530,6167
531,6239
532,7132
533,6015
534,6113
535,6710
536,5678
537,5989
538,6397
539,5505
540,5652
541,6039
542,5278
543,5763
544,5687
545,5102
546,5390
547,5752
548,4649
549,5293
550,5107
551,4506
552,5253
553,4695
554,4369
555,5039
556,4352
557,4284
558,4879
559,4159
560,3998
561,4753
562,3936
563,4032
564,4555
565,3809
566,3902
567,4377
568,3684
569,3780
570,4026
571,3541
572,3675
573,3990
574,3291
575,3599
576,3650
577,3206
578,3537
579,3445
580,3056
581,3488
582,3229
583,2950
584,3289
585,3180
586,2930
587,3361
588,2995
589,2842
590,3311
591,2966
592,2704
593,3276
594,2714
595,2688
596,3087
597,2600
598,2660
599,3130
600,2473
601,2702
602,2696
603,2340
604,2646
605,2649
606,2408
607,2523
608,2466
609,2295
610,2433
611,2438
612,2188
613,2495
614,2374
615,2243
616,2412
617,2208
618,2018
619,2468
620,2163
621,2075
622,2388
623,2021
624,1994
625,2481
626,1892
627,2029
628,2307
629,1938
630,1881
631,2151
632,1867
633,2003
634,2030
635,1773
636,1899
637,1878
638,1736
639,1821
640,1845
641,1689
642,1811
643,1768
644,1614
645,1853
646,1665
647,1548
648,1891
649,1582
650,1511
651,1877
652,1492
653,1392
654,1726
655,1440
656,1425
657,1791
658,1407
659,1436
660,1557
661,1429
662,1396
663,1551
664,1355
665,1455
666,1440
667,1391
668,1444
669,1477
670,1307
671,1458
672,1382
673,1341
674,1400
675,1418
676,1234
677,1487
678,1226
679,1231
680,1429
681,1249
682,1149
683,1374
684,1102
685,1151
686,1325
687,1101
688,1160
689,1307
690,1085
691,1153
692,1195
693,1078
694,1062
695,1226
696,1052
697,1085
698,1143
699,1025
700,1109
701,1091
702,945
703,1199
704,1083
705,939
706,1107
707,1119
708,1006
709,1057
710,1082
711,925
712,1049
713,1041
714,935
715,1120
716,941
717,894
718,1132
719,961
720,901
721,1036
722,950
723,903
724,1037
725,865
726,918
727,981
728,816
729,999
730,967
731,871
732,921
733,965
734,793
735,895
736,914
737,785
738,893
739,858
740,813
741,896
742,759
743,783
744,838
745,751
746,795
747,886
748,728
749,764
750,833
751,732
752,729
753,855
754,716
755,746
756,809
757,649
758,718
759,810
760,663
761,745
762,730
763,634
764,747
765,763
766,705
767,707
768,699
769,637
770,757
771,741
772,609
773,762
774,628
775,584
776,726
777,653
778,638
779,753
780,570
781,644
782,709
783,555
784,610
785,706
786,618
787,636
788,684
789,598
790,636
791,674
792,546
793,601
794,650
795,588
796,651
797,561
798,554
799,634
800,618
801,536
802,618
803,574
804,524
805,611
806,563
807,584
808,626
809,553
810,515
811,595
812,536
813,542
814,621
815,483
816,524
817,652
818,532
819,513
820,599
821,502
822,550
823,587
824,499
825,577
826,531
827,484
828,564
829,542
830,519
831,552
832,534
833,527
834,571
835,516
836,484
837,569
838,466
839,475
840,618
841,503
842,464
843,599
844,458
845,500
846,589
847,476
848,495
849,597
850,523
851,541
852,515
853,489
854,475
855,515
856,473
857,537
858,530
859,530
860,537
861,514
862,462
863,521
864,496
865,466
866,539
867,513
868,467
869,571
870,480
871,501
872,558
873,507
874,501
875,620
876,467
877,506
878,570
879,509
880,515
881,547
882,507
883,565
884,550
885,503
886,565
887,604
888,542
889,612
890,554
891,525
892,611
893,551
894,535
895,616
896,591
897,559
898,639
899,563
900,565
901,704
902,573
903,569
904,671
905,617
906,622
907,724
908,599
909,610
910,695
911,644
912,650
913,698
914,656
915,708
916,719
917,679
918,733
919,789
920,692
921,798
922,777
923,729
924,762
925,795
926,754
927,845
928,777
929,792
930,905
931,850
932,768
933,930
934,855
935,808
936,1016
937,849
938,858
939,1075
940,945
941,966
942,1101
943,936
944,999
945,1067
946,1017
947,1089
948,1097
949,1028
950,1179
951,1166
952,1118
953,1249
954,1237
955,1142
956,1258
957,1271
958,1148
959,1456
960,1243
961,1264
962,1447
963,1321
964,1232
965,1551
966,1346
967,1380
968,1712
969,1435
970,1428
971,1741
972,1463
973,1511
974,1741
975,1554
976,1634
977,1780
978,1560
979,1790
980,1782
981,1671
982,1854
983,1871
984,1768
985,1970
986,1962
987,1779
988,2115
989,1999
990,1915
991,2165
992,1955
993,2045
994,2222
995,1953
996,1972
997,2386
998,2079
999,2116
1000,2516
1001,2119
1002,2143
1003,2515
1004,2173
1005,2301
1006,2567
1007,2185
1008,2478
1009,2578
1010,2343
1011,2440
1012,2701
1013,2371
1014,2634
1015,2612
1016,2427
1017,2665
1018,2615
1019,2519
1020,2849
1021,2644
1022,2470
1023,2917
1024,2716
1025,2514
1026,3066
1027,2750
1028,2761
1029,3149
1030,2727
1031,2756
1032,3158
1033,2707
1034,3015
1035,3266
1036,2909
1037,2991
1038,3325
1039,2904
1040,3087
1041,3292
1042,2854
1043,3205
1044,3249
1045,2950
1046,3432
1047,3290
1048,3108
1049,3532
1050,3404
1051,3048
1052,3494
1053,3349
1054,3113
1055,3686
1056,3294
1057,3134
1058,3888
1059,3308
1060,3223
1061,3958
1062,3199
1063,3308
1064,3809
1065,3294
1066,3455
1067,3837
1068,3369
1069,3528
1070,3983
1071,3441
1072,3655
1073,3861
1074,3406
1075,3726
1076,3963
1077,3404
1078,3907
1079,3819
1080,3495
1081,3868
1082,3975
1083,3529
1084,4175
1085,3744
1086,3547
1087,4182
1088,3819
1089,3682
1090,4287
1091,3777
1092,3781
1093,4491
1094,3688
1095,3798
1096,4479
1097,3790
1098,3970
1099,4514
1100,3880
1101,4011
1102,4491
1103,3805
1104,4211
1105,4431
1106,3937
1107,4182
1108,4435
1109,3845
1110,4467
1111,4265
1112,4052
1113,4485
1114,4418
1115,3900
1116,4563
1117,4088
1118,4014
1119,4620
1120,4081
1121,3983
1122,4869
1123,4176
1124,4005
1125,4725
1126,4017
1127,4170
1128,4718
1129,4012
1130,4235
1131,4550
1132,3984
1133,4096
1134,4634
1135,3874
1136,4480
1137,4316
1138,4007
1139,4219
1140,4424
1141,3904
1142,4473
1143,4144
1144,3847
1145,4344
1146,4280
1147,3850
1148,4507
1149,3870
1150,3855
1151,4436
1152,3751
1153,3664
1154,4621
1155,3703
1156,3989
1157,4278
1158,3754
1159,3812
1160,4395
1161,3720
1162,3957
1163,4297
1164,3743
1165,3978
1166,4110
1167,3660
1168,3936
1169,4059
1170,3658
1171,3794
1172,4036
1173,3468
1174,4143
1175,3785
1176,3441
1177,3999
1178,3692
1179,3410
1180,4002
1181,3432
1182,3435
1183,4036
1184,3354
1185,3263
1186,4075
1187,3136
1188,3432
1189,3832
1190,3313
1191,3236
1192,3739
1193,3091
1194,3399
1195,3551
1196,3166
1197,3273
1198,3566
1199,3052
1200,3336
1201,3342
1202,3056
1203,3261
1204,3190
1205,2977
1206,3363
1207,3011
1208,2879
1209,3313
1210,2967
1211,2739
1212,3222
1213,2812
1214,2883
1215,3205
1216,2707
1217,2758
1218,3193
1219,2655
1220,2738
1221,2975
1222,2596
1223,2768
1224,2960
1225,2513
1226,2779
1227,2907
1228,2604
1229,2671
1230,2961
1231,2485
1232,2713
1233,2683
1234,2405
1235,2671
1236,2662
1237,2364
1238,2837
1239,2451
1240,2376
1241,2643
1242,2362
1243,2233
1244,2626
1245,2325
1246,2301
1247,2624
1248,2308
1249,2217
1250,2655
1251,2081
1252,2240
1253,2488
1254,2175
1255,2234
1256,2467
1257,2082
1258,2253
1259,2366
1260,2065
1261,2220
1262,2291
1263,2045
1264,2299
1265,2224
1266,2023
1267,2255
1268,2108
1269,1978
1270,2199
1271,2048
1272,1920
1273,2228
1274,1987
1275,1814
1276,2336
1277,1830
1278,1836
1279,2188
1280,1830
1281,1823
1282,2053
1283,1749
1284,1849
1285,1971
1286,1784
1287,1838
1288,1951
1289,1740
1290,1897
1291,1879
1292,1744
1293,1839
1294,1860
1295,1680
1296,1915
1297,1749
1298,1695
1299,1921
1300,1792
1301,1611
1302,1942
1303,1631
1304,1660
1305,1875
1306,1639
1307,1579
1308,1993
1309,1629
1310,1711
1311,1850
1312,1575
1313,1643
1314,1937
1315,1613
1316,1648
1317,1769
1318,1543
1319,1730
1320,1832
1321,1564
1322,1702
1323,1762
1324,1555
1325,1722
1326,1733
1327,1484
1328,1805
1329,1635
1330,1642
1331,1719
1332,1630
1333,1560
1334,1830
1335,1630
1336,1609
1337,1800
1338,1605
1339,1564
1340,1851
1341,1594
1342,1523
1343,1826
1344,1570
1345,1534
1346,1871
1347,1558
1348,1678
1349,1788
1350,1540
1351,1677
1352,1748
1353,1620
1354,1750
1355,1720
1356,1576
1357,1731
1358,1777
1359,1575
1360,1834
1361,1807
1362,1651
1363,1839
1364,1873
1365,1632
1366,2137
1367,1864
1368,1904
1369,2148
1370,1882
1371,1801
1372,2075
1373,1785
1374,1849
1375,2031
1376,1831
1377,1750
1378,2061
1379,1796
1380,1956
1381,2070
1382,1800
1383,2041
1384,2199
1385,1944
1386,2201
1387,2376
1388,2139
1389,2283
1390,2348
1391,2170
1392,2352
1393,2229
1394,2027
1395,2265
1396,2112
1397,1973
1398,2389
1399,2001
1400,1955
1401,2284
1402,2019
1403,1906
1404,2326
1405,1869
1406,2027
1407,2322
1408,2016
1409,2089
1410,2283
1411,2005
1412,2049
1413,2185
1414,1868
1415,2110
1416,2160
1417,1901
1418,2074
1419,2117
1420,1922
1421,2081
1422,2106
1423,1752
1424,2131
1425,1934
1426,1809
1427,2068
1428,1889
1429,1837
1430,2165
1431,1871
1432,1765
1433,2097
1434,1804
1435,1796
1436,2030
1437,1681
1438,1877
1439,1993
1440,1754
1441,1809
1442,2079
1443,1744
1444,1734
1445,1850
1446,1693
1447,1811
1448,1827
1449,1639
1450,1831
1451,1826
1452,1603
1453,1879
1454,1746
1455,1676
1456,1905
1457,1680
1458,1618
1459,1819
1460,1648
1461,1643
1462,1873
1463,1601
1464,1612
1465,1931
1466,1623
1467,1530
1468,1877
1469,1545
1470,1623
1471,1788
1472,1493
1473,1555
1474,1749
1475,1535
1476,1587
1477,1700
1478,1455
1479,1626
1480,1687
1481,1470
1482,1677
1483,1569
1484,1499
1485,1661
1486,1596
1487,1440
1488,1634
1489,1504
1490,1462
1491,1600
1492,1481
1493,1344
1494,1654
1495,1415
1496,1428
1497,1617
1498,1277
1499,1340
1500,1598
1501,1360
1502,1428
1503,1586
1504,1326
1505,1393
1506,1504
1507,1333
1508,1324
1509,1474
